Qnumber,ItemNum,SenType,Category,list
Q6.72,c1-38-2,g,other,4
Q7.43,c1-46a,b,other,5
Q7.44,c1-46b,b,other,5
Q7.45,c1-46c,g,other,5
Q6.13,c3-39b,g,triple,4
Q7.46,c1-46d,b,other,5
Q5.73,c1-48,q,other,3
Q6.73,c1-48-2,g,other,4
Q5.44,c2-64,g,other,3
Q6.44,c2-64-2,g,other,4
Q7.47,c2-65a,q,other,5
Q7.48,c2-65b,g,other,5
Q5.71,c2-67,qq,other,3
Q6.71,c2-67-2,q,other,4
Q5.77,c2-8,q,other,3
Q7.13,c3-39c,g,triple,5
Q6.77,c2-8-2,g,other,4
Q5.74,c2-f30,b,other,3
Q6.74,c2-f30-2,q,other,4
Q5.75,c3-08,b,other,3
Q6.75,c3-08-2,q,other,4
Q5.45,c3-30,g,other,3
Q6.45,c3-30-2,g,other,4
Q7.49,c3-49a,g,other,5
Q7.50,c3-49b,b,other,5
Q7.51,c4-40,b,other,5
Q5.14,c4-05a,b,triple,3
Q7.52,c4-41,b,other,5
Q5.47,c4-45,g,other,3
Q6.47,c4-45-2,g,other,4
Q5.46,c4-f29,g,other,3
Q6.46,c4-f29-2,g,other,4
Q5.60,c5-05,b,other,3
Q6.60,c5-05-2,b,other,4
Q5.61,c5-06,b,other,3
Q6.61,c5-06-2,b,other,4
Q5.62,c5-07,b,other,3
Q6.14,c4-05b,b,triple,4
Q6.62,c5-07-2,b,other,4
Q7.65,c5-41a,g,other,5
Q7.66,c5-42a,g,other,5
Q7.67,c5-67,b,other,5
Q5.59,c5-81,b,other,3
Q6.59,c5-81-2,b,other,4
Q7.14,c4-05c,g,triple,5
Q5.15,c4-77a,b,triple,3
Q6.15,c4-77b,g,triple,4
Q6.100,c7-19,g,pair,4
Q6.101,c7-20b,g,pair,4
Q6.102,c7-28,g,pair,4
Q6.103,c7-30,g,pair,4
Q6.104,c7-58,g,pair,4
Q6.105,c7-60a,g,pair,4
Q6.106,c7-60c,g,pair,4
Q6.107,c7-61,g,pair,4
Q6.108,c7-101,g,pair,4
Q6.109,c8-08,g,pair,4
Q7.15,c4-77c,g,triple,5
Q6.110,c8-35b,g,pair,4
Q6.111,c8-f15,g,pair,4
Q6.112,c8-37c,g,pair,4
Q6.113,c8-47,g,pair,4
Q6.114,c8-51a,g,pair,4
Q6.115,c8-55,g,pair,4
Q6.116,c8-59,g,pair,4
Q6.117,c8-62,g,pair,4
Q6.118,c8-69a,g,pair,4
Q6.119,c8-71a,g,pair,4
Q5.16,c5-03a,b,triple,3
Q6.120,c8-71c,g,pair,4
Q6.121,c8-73,g,pair,4
Q6.122,c8-78a,g,pair,4
Q6.123,c8-78c,g,pair,4
Q6.124,c6-90,b,pair,4
Q6.125,c6-95,b,pair,4
Q6.126,c6-99,b,pair,4
Q6.127,c7-87b,b,pair,4
Q6.128,c6-105b,b,pair,4
Q6.129,c6-117,b,pair,4
Q6.16,c5-03b,g,triple,4
Q6.130,c6-103,b,pair,4
